NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.pdf417,PDF417BlackBox1TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.pdf417,PDF417BlackBox2TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.pdf417,PDF417BlackBox3TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode.decoder,BitMatrixParser,Feature Envy,The tool detected a instance of this smell because mirror is more interested in members of the type: BitMatrix
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode.detector,FinderPatternFinder,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 103
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode.encoder,QRCode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NUM_MASK_PATTERNS; mode; ecLevel; version; maskPattern; matrix
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode.encoder,EncoderTestCase,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox1TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox2TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox3TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox4TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox5TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.qrcode,QRCodeBlackBox6TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.negative,FalsePositives2BlackBoxTestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.negative,FalsePositivesBlackBoxTestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.negative,PartialBlackBoxTestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.negative,UnsupportedBlackBoxTestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,CommandLineRunner,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,DecodeWorker,Feature Envy,The tool detected a instance of this smell because decode is more interested in members of the type: DecoderConfig
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,EncoderConfig,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DEFAULT_OUTPUT_FILE_BASE; barcodeFormat; imageFormat; outputFileBase; width; height; errorCorrectionLevel; help; contents
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,Java8Base64Decoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,JAXBBase64Decoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.client.j2se,MatrixToImageConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLACK; WHITE; onColor; offColor
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.web,HTTPSFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractFilter
BS-4.7.8,ea0a9a670fd52d1367201e0d3b88488010b07d2e,Tue Sep 11 15:59:25 CEST 2018,zxing,com.google.zxing.web,WelcomeFilter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractFilter
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,CaptureActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CaptureActivity; CaptureActivityHandler; DecodeThread; DecodeHandler; ResultHandlerFactory; WifiResultHandler
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,CaptureActivity,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 112
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Contents,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEXT; EMAIL; PHONE; SMS; CONTACT; LOCATION; URL_KEY; NOTE_KEY; PHONE_KEYS; PHONE_TYPE_KEYS; EMAIL_KEYS; EMAIL_TYPE_KEYS
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Type,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEXT; EMAIL; PHONE; SMS; CONTACT; LOCATION
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,DecodeThread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BARCODE_BITMAP; BARCODE_SCALED_FACTOR; activity; hints; handler; handlerInitLatch
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,HelpActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Intents,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1.0
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Intents,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; MODE; PRODUCT_MODE; ONE_D_MODE; QR_CODE_MODE; DATA_MATRIX_MODE; AZTEC_MODE; PDF417_MODE; FORMATS; CAMERA_ID; CHARACTER_SET; WIDTH; HEIGHT; RESULT_DISPLAY_DURATION_MS; PROMPT_MESSAGE; RESULT; RESULT_FORMAT; RESULT_UPC_EAN_EXTENSION; RESULT_BYTES; RESULT_ORIENTATION; RESULT_ERROR_CORRECTION_LEVEL; RESULT_BYTE_SEGMENTS_PREFIX; SAVE_HISTORY; ITEM_NUMBER; ACTION; DATA; TYPE; FORMAT; SHOW_CONTENTS; ACTION; ISBN; QUERY; ACTION; SSID; TYPE; PASSWORD; ACTION; FLAG_NEW_DOC
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Scan,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Scan,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; MODE; PRODUCT_MODE; ONE_D_MODE; QR_CODE_MODE; DATA_MATRIX_MODE; AZTEC_MODE; PDF417_MODE; FORMATS; CAMERA_ID; CHARACTER_SET; WIDTH; HEIGHT; RESULT_DISPLAY_DURATION_MS; PROMPT_MESSAGE; RESULT; RESULT_FORMAT; RESULT_UPC_EAN_EXTENSION; RESULT_BYTES; RESULT_ORIENTATION; RESULT_ERROR_CORRECTION_LEVEL; RESULT_BYTE_SEGMENTS_PREFIX; SAVE_HISTORY
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,History,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,History,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ITEM_NUMBER
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Encode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Encode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; DATA; TYPE; FORMAT; SHOW_CONTENTS
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,SearchBookContents,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,SearchBookContents,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; ISBN; QUERY
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,WifiConnect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,WifiConnect,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; SSID; TYPE; PASSWORD
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Share,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,Share,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,PreferencesActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEY_DECODE_1D_PRODUCT; KEY_DECODE_1D_INDUSTRIAL; KEY_DECODE_QR; KEY_DECODE_DATA_MATRIX; KEY_DECODE_AZTEC; KEY_DECODE_PDF417; KEY_CUSTOM_PRODUCT_SEARCH; KEY_PLAY_BEEP; KEY_VIBRATE; KEY_COPY_TO_CLIPBOARD; KEY_FRONT_LIGHT_MODE; KEY_BULK_MODE; KEY_REMEMBER_DUPLICATES; KEY_ENABLE_HISTORY; KEY_SUPPLEMENTAL; KEY_AUTO_FOCUS; KEY_INVERT_SCAN; KEY_SEARCH_COUNTRY; KEY_DISABLE_AUTO_ORIENTATION; KEY_DISABLE_CONTINUOUS_FOCUS; KEY_DISABLE_EXPOSURE; KEY_DISABLE_METERING; KEY_DISABLE_BARCODE_SCENE_MODE; KEY_AUTO_OPEN_WEB
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android,PreferencesActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomSearchURLValidator; PreferencesFragment; PreferencesActivity
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.book,BrowseBookListener,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SearchBookContentsActivity; NetworkTask; BrowseBookListener
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.camera.open,OpenCameraInterface,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; NO_REQUESTED_CAMERA
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.history,HistoryActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result,ResultButtonListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result,ResultHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; EMAIL_TYPE_STRINGS; PHONE_TYPE_STRINGS; ADDRESS_TYPE_STRINGS; EMAIL_TYPE_VALUES; PHONE_TYPE_VALUES; ADDRESS_TYPE_VALUES; NO_TYPE; MAX_BUTTON_COUNT; result; activity; rawResult; customProductSearch
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result,ResultHandler,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AddressBookResultHandler; CalendarResultHandler; EmailAddressResultHandler; GeoResultHandler; ISBNResultHandler; ProductResultHandler; SMSResultHandler; TelResultHandler; TextResultHandler; URIResultHandler; WifiResultHandler
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result,ResultHandler,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 43 methods
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result,ResultHandlerFactory,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CaptureActivity; CaptureActivityHandler; DecodeThread; DecodeHandler; ResultHandlerFactory; WifiResultHandler
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.result.supplement,SupplementalInfoRetriever,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: BookResultInfoRetriever
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.share,AppPickerActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.android.share,BookmarkPickerActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.integration.android,IntentIntegrator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: REQUEST_CODE; TAG; DEFAULT_TITLE; DEFAULT_MESSAGE; DEFAULT_YES; DEFAULT_NO; BS_PACKAGE; BSPLUS_PACKAGE; PRODUCT_CODE_TYPES; ONE_D_CODE_TYPES; QR_CODE_TYPES; DATA_MATRIX_TYPES; ALL_CODE_TYPES; TARGET_BARCODE_SCANNER_ONLY; TARGET_ALL_KNOWN; FLAG_NEW_DOC; activity; fragment; title; message; buttonYes; buttonNo; targetApplications; moreExtras
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.integration.android,IntentIntegrator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec,AztecBlackBox1TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec,AztecBlackBox2TestCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec.encoder,BinaryShiftToken,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SimpleToken; Token; BinaryShiftToken
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec.encoder,Encoder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_EC_PERCENT; DEFAULT_AZTEC_LAYERS; MAX_NB_BITS; MAX_NB_BITS_COMPACT; WORD_SIZE
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec.encoder,HighLevelEncoder,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: State; HighLevelEncoder
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec.encoder,SimpleToken,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Token
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.aztec.encoder,Token,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: BinaryShiftToken
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,BinaryBitmap,Feature Envy,The tool detected a instance of this smell because crop is more interested in members of the type: Binarizer
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,BinaryBitmap,Feature Envy,The tool detected a instance of this smell because rotateCounterClockwise is more interested in members of the type: Binarizer
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,BinaryBitmap,Feature Envy,The tool detected a instance of this smell because rotateCounterClockwise45 is more interested in members of the type: Binarizer
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,ChecksumException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ReaderException
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,FormatException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ReaderException
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,InvertedLuminanceSource,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: InvertedLuminanceSource; LuminanceSource
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,LuminanceSource,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: InvertedLuminanceSource
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,MultiFormatWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,NotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ReaderException
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,WriterException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,RGBLuminanceSourceTestCase,Feature Envy,The tool detected a instance of this smell because testCrop is more interested in members of the type: RGBLuminanceSource
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing,RGBLuminanceSourceTestCase,Feature Envy,The tool detected a instance of this smell because testMatrix is more interested in members of the type: RGBLuminanceSource
zxing-3.4.0,67138cedc8cd2c8db2158be5da402ba0e2e1b000,Sat May 18 02:36:09 CEST 2019,zxing,com.google.zxing.client.result,AddressBookDoCoMoResultParser,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDoCoMoResultParser
