NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PARAM_URL; PARAM_MODE; sonicSession; context
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BrowserActivity; MainActivity
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.demo,MainActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODE_DEFAULT; MODE_SONIC; MODE_SONIC_WITH_OFFLINE_CACHE; PERMISSION_REQUEST_CODE_STORAGE; DEMO_URL
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.demo,SonicJavaScriptInterface,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sessionClient; intent; PARAM_CLICK_TIME; PARAM_LOAD_URL_TIME
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,QuickSonicSession,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SonicSessionThreadPool; SonicUtils; SonicDataHelper; SonicEngine; SonicRuntime; SonicSessionClient; SonicSession; SonicSessionConnection; SonicSniSSLSocketFactory; SonicSessionConfig; SonicCacheInterceptor; SonicCacheInterceptorDefaultImpl; SonicFileUtils; SonicSessionConnectionInterceptor; Callback; SonicSessionStream; QuickSonicSession; StandardSonicSession
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; nextInterceptor; TAG
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptorDefaultImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicRuntime,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; WEB_RESPONSE_SRC_CODE; WEB_RESPONSE_CODE; WEB_RESPONSE_DATA; SONIC_URL_PARAM_SESSION_ID; DATA_UPDATE_BUNDLE_PARAMS_DIFF; WEB_RESPONSE_LOCAL_REFRESH_TIME; STATE_NONE; STATE_RUNNING; STATE_READY; STATE_DESTROY; OFFLINE_MODE_HTTP; OFFLINE_MODE_STORE; OFFLINE_MODE_TRUE; OFFLINE_MODE_FALSE; SONIC_RESULT_CODE_UNKNOWN; SONIC_RESULT_CODE_FIRST_LOAD; SONIC_RESULT_CODE_TEMPLATE_CHANGE; SONIC_RESULT_CODE_DATA_UPDATE; SONIC_RESULT_CODE_HIT_CACHE; srcResultCode; finalResultCode; COMMON_MSG_BEGIN; CLIENT_MSG_NOTIFY_RESULT; CLIENT_MSG_ON_WEB_READY; SESSION_MSG_FORCE_DESTROY; COMMON_MSG_END; sessionState; wasInterceptInvoked; clientIsReady; wasNotified; isWaitingForSaveFile; isWaitingForDestroy; isWaitingForSessionThread; wasOnPageFinishInvoked; statistics; sessionConnection; pendingWebResourceStream; pendingDiffData; sNextSessionLogId; config; id; isPreload; createdTime; sId; srcUrl; sessionClient; currUrl; mainHandler; callbackWeakRefList; diffDataCallback
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SonicSessionStream
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 44 methods
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionConnection,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; CUSTOM_HEAD_FILED_ETAG; CUSTOM_HEAD_FILED_ACCEPT_DIFF; CUSTOM_HEAD_FILED_TEMPLATE_TAG; CUSTOM_HEAD_FILED_TEMPLATE_CHANGE; CUSTOM_HEAD_FILED_CACHE_OFFLINE; DNS_PREFETCH_ADDRESS; CUSTOM_HEAD_FILED_SDK_VERSION; CUSTOM_HEAD_FILED_DNS_PREFETCH; HTTP_HEAD_CSP; HTTP_HEAD_CSP_REPORT_ONLY; session; intent; responseStream; isComplete; responseStream; outputStream; connectionImpl
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,ResponseDataTuple,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: isComplete; responseStream; outputStream
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SessionConnectionDefaultImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionStatistics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: srcUrl; finalMode; originalMode; sonicStartTime; sonicFlowStartTime; cacheVerifyTime; connectionFlowStartTime; connectionConnectTime; connectionRespondTime; connectionFlowFinishTime; isDirectAddress
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionStatistics,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: srcUrl; finalMode; originalMode; sonicStartTime; sonicFlowStartTime; cacheVerifyTime; connectionFlowStartTime; connectionConnectTime; connectionRespondTime; connectionFlowFinishTime; isDirectAddress
1.0,b3375d2a18f7b4efd5b515117e79f6241c33d79d,Tue Aug 08 10:54:32 CEST 2017,vassonic,com.tencent.sonic.sdk,Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PARAM_URL; PARAM_MODE; sonicSession; context
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BrowserActivity; MainActivity
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.demo,MainActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODE_DEFAULT; MODE_SONIC; MODE_SONIC_WITH_OFFLINE_CACHE; PERMISSION_REQUEST_CODE_STORAGE; DEMO_URL
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.demo,SonicJavaScriptInterface,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sessionClient; intent; PARAM_CLICK_TIME; PARAM_LOAD_URL_TIME
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,QuickSonicSession,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SonicSessionThreadPool; SonicUtils; SonicDataHelper; SonicEngine; SonicRuntime; SonicSessionClient; SonicSession; SonicSessionConnection; SonicSniSSLSocketFactory; SonicSessionConfig; SonicCacheInterceptor; SonicCacheInterceptorDefaultImpl; SonicFileUtils; SonicSessionConnectionInterceptor; Callback; SonicSessionStream; QuickSonicSession; StandardSonicSession
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; nextInterceptor; TAG
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptorDefaultImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicRuntime,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; WEB_RESPONSE_SRC_CODE; WEB_RESPONSE_CODE; WEB_RESPONSE_DATA; SONIC_URL_PARAM_SESSION_ID; DATA_UPDATE_BUNDLE_PARAMS_DIFF; WEB_RESPONSE_LOCAL_REFRESH_TIME; CHROME_FILE_THREAD; STATE_NONE; STATE_RUNNING; STATE_READY; STATE_DESTROY; OFFLINE_MODE_HTTP; OFFLINE_MODE_STORE; OFFLINE_MODE_TRUE; OFFLINE_MODE_FALSE; SONIC_RESULT_CODE_UNKNOWN; SONIC_RESULT_CODE_FIRST_LOAD; SONIC_RESULT_CODE_TEMPLATE_CHANGE; SONIC_RESULT_CODE_DATA_UPDATE; SONIC_RESULT_CODE_HIT_CACHE; srcResultCode; finalResultCode; COMMON_MSG_BEGIN; CLIENT_MSG_NOTIFY_RESULT; CLIENT_MSG_ON_WEB_READY; SESSION_MSG_FORCE_DESTROY; COMMON_MSG_END; RESOURCE_INTERCEPT_STATE_NONE; RESOURCE_INTERCEPT_STATE_IN_FILE_THREAD; RESOURCE_INTERCEPT_STATE_IN_OTHER_THREAD; sessionState; wasInterceptInvoked; clientIsReady; wasNotified; isWaitingForSaveFile; isWaitingForDestroy; isWaitingForSessionThread; wasOnPageFinishInvoked; resourceInterceptState; statistics; sessionConnection; pendingWebResourceStream; pendingDiffData; sNextSessionLogId; config; id; isPreload; createdTime; sId; srcUrl; sessionClient; currUrl; mainHandler; callbackWeakRefList; diffDataCallback
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SonicSessionStream
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSession,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionConnection,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; CUSTOM_HEAD_FILED_ETAG; CUSTOM_HEAD_FILED_ACCEPT_DIFF; CUSTOM_HEAD_FILED_TEMPLATE_TAG; CUSTOM_HEAD_FILED_TEMPLATE_CHANGE; CUSTOM_HEAD_FILED_CACHE_OFFLINE; DNS_PREFETCH_ADDRESS; CUSTOM_HEAD_FILED_SDK_VERSION; CUSTOM_HEAD_FILED_DNS_PREFETCH; HTTP_HEAD_CSP; HTTP_HEAD_CSP_REPORT_ONLY; HTTP_HEAD_FILED_SET_COOKIE; session; intent; responseStream; isComplete; responseStream; outputStream; connectionImpl
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,ResponseDataTuple,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: isComplete; responseStream; outputStream
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SessionConnectionDefaultImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionStatistics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: srcUrl; finalMode; originalMode; sonicStartTime; sonicFlowStartTime; cacheVerifyTime; connectionFlowStartTime; connectionConnectTime; connectionRespondTime; connectionFlowFinishTime; isDirectAddress
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,SonicSessionStatistics,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: srcUrl; finalMode; originalMode; sonicStartTime; sonicFlowStartTime; cacheVerifyTime; connectionFlowStartTime; connectionConnectTime; connectionRespondTime; connectionFlowFinishTime; isDirectAddress
1.1.0,e658462ced3f597df2d14427ad57ebb93a7df2fe,Mon Sep 25 06:56:33 CEST 2017,vassonic,com.tencent.sonic.sdk,Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PARAM_URL; PARAM_MODE; sonicSession; context
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,BrowserActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BrowserActivity; MainActivity
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,MainActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODE_DEFAULT; MODE_SONIC; MODE_SONIC_WITH_OFFLINE_CACHE; PERMISSION_REQUEST_CODE_STORAGE; DEMO_URL
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,SonicJavaScriptInterface,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sessionClient; intent; PARAM_CLICK_TIME; PARAM_LOAD_URL_TIME
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,UrlListAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PREFERENCE_URLS; PREFERENCE_CHECKED_INDEX; MODE_NORMAL; MODE_EDIT; DEFAULT_URL; urls; mInflater; checkedIndex; mode; sharedPreferences; radioButton; textUrl; btnDelete
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.demo,ViewHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: radioButton; textUrl; btnDelete
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,QuickSonicSession,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SonicSessionThreadPool; SonicUtils; SonicDataHelper; SonicDBHelper; SonicEngine; SonicRuntime; SonicSessionClient; SonicSession; SonicServer; SonicSessionConnection; SonicSniSSLSocketFactory; SonicSessionConfig; SonicCacheInterceptor; SonicCacheInterceptorDefaultImpl; SonicFileUtils; SonicSessionConnectionInterceptor; SonicSessionStream; Callback; QuickSonicSession; StandardSonicSession
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; nextInterceptor; TAG
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicCacheInterceptorDefaultImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SONIC_SDK_LOG_PREFIX; SONIC_VERSION_NUM; SONIC_PARAMETER_NAME_PREFIX; SONIC_REMAIN_PARAMETER_NAMES; SONIC_REMAIN_PARAMETER_SPLIT_CHAR; SESSION_MODE_DEFAULT; SESSION_MODE_QUICK; ERROR_CODE_UNKNOWN; ERROR_CODE_SUCCESS; ERROR_CODE_CONNECT_IOE; ERROR_CODE_CONNECT_TOE; ERROR_CODE_CONNECT_NPE; ERROR_CODE_DATA_VERIFY_FAIL; ERROR_CODE_MAKE_DIR_ERROR; ERROR_CODE_WRITE_FILE_FAIL; ERROR_CODE_SPLIT_HTML_FAIL; ERROR_CODE_MERGE_DIFF_DATA_FAIL; ERROR_CODE_SERVER_DATA_EXCEPTION; ERROR_CODE_BUILD_HTML_ERROR
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicRuntime,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
2.0.0-alpha,865e16a751ccb1192041cf5f8a381e6935e11cb3,Mon Nov 06 08:31:02 CET 2017,vassonic,com.tencent.sonic.sdk,SonicServer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; connectionImpl; serverRsp; templateString; dataString; responseCode; session; sessionData; requestIntent; cachedResponseHeaders; outputStream
